binomial,family,family_correct,binomial_correct
Hypsilurus schoedei,Agamidae,Agamidae,Hypsilurus schoedei
Hypsilurus schultzewestrumi,Agamidae,Agamidae,Hypsilurus schultzewestrumi
Intellagama lesueurii,Agamidae,Agamidae,Intellagama lesueurii
Japalura andersoniana,Agamidae,Agamidae,Japalura andersoniana
Japalura kumaonensis,Agamidae,Agamidae,Japalura kumaonensis
Japalura major,Agamidae,Agamidae,Japalura major
Japalura sagittifera,Agamidae,Agamidae,Japalura sagittifera
Japalura tricarinata,Agamidae,Agamidae,Japalura tricarinata
Japalura variegata,Agamidae,Agamidae,Japalura variegata
Laudakia agrorensis,Agamidae,Agamidae,Laudakia agrorensis
Laudakia melanura,Agamidae,Agamidae,Laudakia melanura
Laudakia nupta,Agamidae,Agamidae,Laudakia nupta
Laudakia nuristanica,Agamidae,Agamidae,Laudakia nuristanica
Laudakia pakistanica,Agamidae,Agamidae,Laudakia pakistanica
Laudakia sacra,Agamidae,Agamidae,Laudakia sacra
Agama tuberculata,Agamidae,Agamidae,Laudakia tuberculata
Laudakia tuberculata,Agamidae,Agamidae,Laudakia tuberculata
Leiolepis belliana,Agamidae,Agamidae,Leiolepis belliana
Leiolepis boehmei,Agamidae,Agamidae,Leiolepis boehmei
Leiolepis guentherpetersi,Agamidae,Agamidae,Leiolepis guentherpetersi
Leiolepis guttata,Agamidae,Agamidae,Leiolepis guttata
Leiolepis ocellata,Agamidae,Agamidae,Leiolepis ocellata
Leiolepis peguensis,Agamidae,Agamidae,Leiolepis peguensis
Leiolepis reevesii,Agamidae,Agamidae,Leiolepis reevesii
Leiolepis rubritaeniata,Agamidae,Agamidae,Leiolepis rubritaeniata
Leiolepis triploida,Agamidae,Agamidae,Leiolepis triploida
Lophocalotes ludekingi,Agamidae,Agamidae,Lophocalotes ludekingi
Lophocalotes luedekingii,Agamidae,Agamidae,Lophocalotes ludekingi
Lophognathus gilberti,Agamidae,Agamidae,Lophognathus gilberti
Lophognathus horneri,Agamidae,Agamidae,Lophognathus horneri
Lophognathus maculilabris,Agamidae,Agamidae,Lophognathus maculilabris
Lophosaurus boydii,Agamidae,Agamidae,Lophosaurus boydii
Lophosaurus dilophus,Agamidae,Agamidae,Lophosaurus dilophus
Lophosaurus spinipes,Agamidae,Agamidae,Lophosaurus spinipes
Lyriocephalus scutatus,Agamidae,Agamidae,Lyriocephalus scutatus
Malayodracon robinsonii,Agamidae,Agamidae,Malayodracon robinsonii
Mantheyus phuwuanensis,Agamidae,Agamidae,Mantheyus phuwuanensis
Calotes aurantolabium,Agamidae,Agamidae,Microauris aurantolabium
Moloch horridus,Agamidae,Agamidae,Moloch horridus
Monilesaurus acanthocephalus,Agamidae,Agamidae,Monilesaurus acanthocephalus
Calotes ellioti,Agamidae,Agamidae,Monilesaurus ellioti
Monilesaurus montanus,Agamidae,Agamidae,Monilesaurus montanus
Calotes rouxii,Agamidae,Agamidae,Monilesaurus rouxii
Otocryptis beddomei,Agamidae,Agamidae,Otocryptis beddomei
Otocryptis wiegmanni,Agamidae,Agamidae,Otocryptis wiegmanni
Paralaudakia badakhshana,Agamidae,Agamidae,Paralaudakia badakhshana
Paralaudakia bochariensis,Agamidae,Agamidae,Paralaudakia bochariensis
Paralaudakia caucasia,Agamidae,Agamidae,Paralaudakia caucasia
Paralaudakia erythrogaster,Agamidae,Agamidae,Paralaudakia erythrogaster
Paralaudakia himalayana,Agamidae,Agamidae,Paralaudakia himalayana
Paralaudakia lehmanni,Agamidae,Agamidae,Paralaudakia lehmanni
Paralaudakia microlepis,Agamidae,Agamidae,Paralaudakia microlepis
Paralaudakia stoliczkana,Agamidae,Agamidae,Paralaudakia stoliczkana
Phoxophrys borneensis,Agamidae,Agamidae,Pelturagonia borneensis
Phoxophrys cephalum,Agamidae,Agamidae,Pelturagonia cephalum
Phoxophrys nigrilabris,Agamidae,Agamidae,Pelturagonia nigrilabris
Phoxophrys spiniceps,Agamidae,Agamidae,Pelturagonia spiniceps
Phoxophrys tuberculata,Agamidae,Agamidae,Phoxophrys tuberculata
Phrynocephalus ananjevae,Agamidae,Agamidae,Phrynocephalus ananjevae
Phrynocephalus arabicus,Agamidae,Agamidae,Phrynocephalus arabicus
Phrynocephalus axillaris,Agamidae,Agamidae,Phrynocephalus axillaris
Phrynocephalus clarkorum,Agamidae,Agamidae,Phrynocephalus clarkorum
Phrynocephalus erythrurus,Agamidae,Agamidae,Phrynocephalus erythrurus
Phrynocephalus euptilopus,Agamidae,Agamidae,Phrynocephalus euptilopus
Phrynocephalus forsythii,Agamidae,Agamidae,Phrynocephalus forsythii
Phrynocephalus golubewii,Agamidae,Agamidae,Phrynocephalus golubewii
Phrynocephalus guttatus,Agamidae,Agamidae,Phrynocephalus guttatus
Phrynocephalus helioscopus,Agamidae,Agamidae,Phrynocephalus helioscopus
Phrynocephalus interscapularis,Agamidae,Agamidae,Phrynocephalus interscapularis
Phrynocephalus lutensis,Agamidae,Agamidae,Phrynocephalus lutensis
Phrynocephalus luteoguttatus,Agamidae,Agamidae,Phrynocephalus luteoguttatus
Phrynocephalus maculatus,Agamidae,Agamidae,Phrynocephalus maculatus
Phrynocephalus mystaceus,Agamidae,Agamidae,Phrynocephalus mystaceus
Phrynocephalus ornatus,Agamidae,Agamidae,Phrynocephalus ornatus
Phrynocephalus persicus,Agamidae,Agamidae,Phrynocephalus persicus
Phrynocephalus horvathi,Agamidae,Agamidae,Phrynocephalus persicus
Phrynocephalus przewalskii,Agamidae,Agamidae,Phrynocephalus przewalskii
Phrynocephalus raddei,Agamidae,Agamidae,Phrynocephalus raddei
Phrynocephalus reticulatus,Agamidae,Agamidae,Phrynocephalus reticulatus
Phrynocephalus roborowskii,Agamidae,Agamidae,Phrynocephalus roborowskii
Phrynocephalus rossikowi,Agamidae,Agamidae,Phrynocephalus rossikowi
Phrynocephalus scutellatus,Agamidae,Agamidae,Phrynocephalus scutellatus
Phrynocephalus strauchi,Agamidae,Agamidae,Phrynocephalus strauchi
Phrynocephalus theobaldi,Agamidae,Agamidae,Phrynocephalus theobaldi
Phrynocephalus versicolor,Agamidae,Agamidae,Phrynocephalus versicolor
Phrynocephalus vlangalii,Agamidae,Agamidae,Phrynocephalus vlangalii
Physignathus cocincinus,Agamidae,Agamidae,Physignathus cocincinus
Pogona barbata,Agamidae,Agamidae,Pogona barbata
Pogona henrylawsoni,Agamidae,Agamidae,Pogona henrylawsoni
Pogona microlepidota,Agamidae,Agamidae,Pogona microlepidota
Pogona minor,Agamidae,Agamidae,Pogona minor
Pogona minima,Agamidae,Agamidae,Pogona minor
Pogona mitchelli,Agamidae,Agamidae,Pogona mitchelli
Pogona nullarbor,Agamidae,Agamidae,Pogona nullarbor
Pogona vitticeps,Agamidae,Agamidae,Pogona vitticeps
Psammophilus blanfordanus,Agamidae,Agamidae,Psammophilus blanfordanus
Psammophilus dorsalis,Agamidae,Agamidae,Psammophilus dorsalis
Pseudocalotes andamanensis,Agamidae,Agamidae,Pseudocalotes andamanensis
Pseudocalotes austeniana,Agamidae,Agamidae,Pseudocalotes austeniana
Pseudocalotes brevipes,Agamidae,Agamidae,Pseudocalotes brevipes
Pseudocalotes dringi,Agamidae,Agamidae,Pseudocalotes dringi
Pseudocalotes drogon,Agamidae,Agamidae,Pseudocalotes drogon
Pseudocalotes flavigula,Agamidae,Agamidae,Pseudocalotes flavigula
Pseudocalotes floweri,Agamidae,Agamidae,Pseudocalotes floweri
Pseudocalotes kakhienensis,Agamidae,Agamidae,Pseudocalotes kakhienensis
Pseudocalotes kingdonwardi,Agamidae,Agamidae,Pseudocalotes kingdonwardi
Pseudocalotes larutensis,Agamidae,Agamidae,Pseudocalotes larutensis
Pseudocalotes microlepis,Agamidae,Agamidae,Pseudocalotes microlepis
Pseudocalotes poilani,Agamidae,Agamidae,Pseudocalotes poilani
Pseudocalotes rhaegal,Agamidae,Agamidae,Pseudocalotes rhaegal
Pseudocalotes saravacensis,Agamidae,Agamidae,Pseudocalotes saravacensis
Pseudocalotes tympanistriga,Agamidae,Agamidae,Pseudocalotes tympanistriga
Pseudocalotes viserion,Agamidae,Agamidae,Pseudocalotes viserion
Pseudocalotes ziegleri,Agamidae,Agamidae,Pseudocalotes ziegleri
Pseudocophotis sumatrana,Agamidae,Agamidae,Pseudocophotis sumatrana
Pseudotrapelus chlodnickii,Agamidae,Agamidae,Pseudotrapelus chlodnickii
Pseudotrapelus sinaitus,Agamidae,Agamidae,Pseudotrapelus sinaitus
Ptyctolaemus collicristatus,Agamidae,Agamidae,Ptyctolaemus collicristatus
Ptyctolaemus gularis,Agamidae,Agamidae,Ptyctolaemus gularis
Rankinia diemensis,Agamidae,Agamidae,Rankinia diemensis
Saara asmussi,Agamidae,Agamidae,Saara asmussi
Saara hardwickii,Agamidae,Agamidae,Saara hardwickii
Saara loricata,Agamidae,Agamidae,Saara loricata
Salea anamallayana,Agamidae,Agamidae,Salea anamallayana
Salea horsfieldii,Agamidae,Agamidae,Salea horsfieldii
Sarada darwini,Agamidae,Agamidae,Sarada darwini
Sarada superba,Agamidae,Agamidae,Sarada superba
Sitana attenboroughii,Agamidae,Agamidae,Sitana attenboroughii
Sitana gokakensis,Agamidae,Agamidae,Sitana gokakensis
Sitana laticeps,Agamidae,Agamidae,Sitana laticeps
Sitana marudhamneydhal,Agamidae,Agamidae,Sitana marudhamneydhal
Sitana ponticeriana,Agamidae,Agamidae,Sitana ponticeriana
Sitana sivalensis,Agamidae,Agamidae,Sitana sivalensis
Sitana spinaecephalus,Agamidae,Agamidae,Sitana spinaecephalus
Sitana thondalu,Agamidae,Agamidae,Sitana thondalu
Sitana visiri,Agamidae,Agamidae,Sitana visiri
Stellagama stellio,Agamidae,Agamidae,Stellagama stellio
Trapelus agilis,Agamidae,Agamidae,Trapelus agilis
Trapelus agnetae,Agamidae,Agamidae,Trapelus agnetae
Trapelus boehmei,Agamidae,Agamidae,Trapelus boehmei
Trapelus flavimaculatus,Agamidae,Agamidae,Trapelus flavimaculatus
Trapelus jayakari,Agamidae,Agamidae,Trapelus flavimaculatus
Trapelus megalonyx,Agamidae,Agamidae,Trapelus megalonyx
Trapelus mutabilis,Agamidae,Agamidae,Trapelus mutabilis
Agama rubrigularis,Agamidae,Agamidae,Trapelus rubrigularis
Trapelus rubrigularis,Agamidae,Agamidae,Trapelus rubrigularis
Trapelus ruderatus,Agamidae,Agamidae,Trapelus ruderatus
